Term,Variable,Description,Category1|Category2|...
"Cardinal B-spline interpolation","cardinal B-spline interpolation","Interpolation method used in the PME algorithm","algorithm|method"
"Smooth PME","SPME","GROMACS implementation of PME using smooth B-splines","algorithm|method"
"Verlet cut-off scheme","Verlet cut-off scheme","A cutoff scheme where the potential is unmodified","method|model"
"PME interpolation order","pme-order","Controls the interpolation order in the PME method","measure"
"Particle-Particle Particle-Mesh with Analytical Differentiation","P3M-AD","A long-range electrostatics method similar to PME","algorithm|method"
"GROMACS simulation runner","gmx mdrun","The main GROMACS program for running simulations","software"
"PME tuning utility","gmx tune_pme","A GROMACS tool to optimize PME calculation parameters","software"
"Long Range Van der Waals interactions","Long Range Van der Waals interactions","Methods to account for VdW interactions beyond the cutoff","method|model"
"Dispersion correction","Dispersion correction","Correction applied to energy and pressure for truncated dispersion interactions","method|model"
"Dispersion interaction parameter","C6","Coefficient for the r⁻⁶ term in the Lennard-Jones potential","measure"
"Long-range dispersion energy","Vlr","The energy contribution from dispersion interactions beyond the cutoff","measure"
"Radial distribution function","g(r)","Describes the probability of finding a particle at a distance r","measure"
"Average dispersion constant","⟨C6⟩","Average C6 parameter for a homogeneous mixture","measure"
"Virial","Ξ","A measure related to the internal pressure of a system","measure"
"Pressure","P","A thermodynamic property of the system","measure|state"
"Long-range virial correction","Ξlr","Correction to the virial due to truncated interactions","measure"
"Long-range pressure correction","Plr","Correction to the pressure due to truncated interactions","measure"
"Lennard-Jones PME","Lennard-Jones PME","Application of the PME method to Lennard-Jones interactions","algorithm|method"
"Geometrically combined dispersion parameter","C⁶,geom","Dispersion parameter from geometric mean of individual parameters","measure|model"
"Lorentz-Berthelot combination rules","Lorentz-Berthelot combination rules","Rules for combining Lennard-Jones parameters for unlike atoms","model|method"
"Direct space dispersion parameter","Cdir","Dispersion parameter used in the direct space calculation","measure"
"Reciprocal space dispersion parameter","Crecip","Dispersion parameter used in the reciprocal space calculation","measure"
"VdW interaction modifier","vdw-modifier","Modifies the van der Waals potential at the cutoff","method|model"
"Potential-shift modifier","Potential-Shift","A VdW modifier that shifts the potential to be zero","model|method"
"LJ-PME relative tolerance","ewald-rtol-lj","Tolerance for splitting direct and reciprocal space in LJ-PME","measure"
"LJ-PME combination rule","lj-pme-comb-rule","Combination rule for the reciprocal part of LJ-PME","identifier|model"
"Force Field","Force field","A set of equations and parameters to model molecular interactions","model|data source"
"GROMOS-96 force field","GROMOS-96","A specific united-atom force field for biomolecular simulation","model|data source"
"OPLS-AA/L force field","OPLS-AA/L","A specific all-atom force field for biomolecular simulation","model|data source"
"Multiple-time-stepping","multiple-time-stepping scheme","An integration scheme using different timesteps for different forces","algorithm|method"
"Twin-range cut-off","twin-range cut-off","A cutoff scheme with two different cutoff distances","method|model"
"Topology generation utility","pdb2gmx","GROMACS program to build a topology from a structure file","software"
"GROMOS-87 force field","GROMOS-87","An older version of the GROMOS force field","model|data source"
"Fourth power bond stretching potential","Fourth power bond stretching potential","A potential energy function for bond stretching","model"
"Cosine based angle potential","Cosine based angle potential","A potential energy function for angle bending","model"
"GROMOS-96 file format","g96","Coordinate and trajectory file format for GROMOS-96","data format"
"AMBER force field","AMBER","A family of force fields for biomolecular simulation","model|data source"
"Correction Map","CMAP","Energy correction maps for protein backbone dihedral angles","model|method"
"Disable CMAP option","-nocmap","Command-line option to disable the use of CMAPs","identifier"
"CMAP types directive","[ cmaptypes ]","Topology file section defining CMAP parameters","data format"
"CHARMM force field","CHARMM","A force field for biomolecular simulation","model|data source"
"Residue topology parameter file","rtp file","File containing residue-specific topology information","data format"
"Coarse-graining","Coarse-graining","A method to simplify a system by grouping atoms","method|model"
"MARTINI force field","MARTINI force field","A popular coarse-grained force field for biomolecular systems","model|data source"
"Iterative Boltzmann inversion","iterative Boltzmann inversion","A method to derive coarse-grained potentials from distribution functions","algorithm|method"
"Inverse Monte Carlo","Inverse Monte Carlo","A method to derive coarse-grained potentials","algorithm|method"
"Force matching","Force matching","A method to derive coarse-grained potentials by matching forces","algorithm|method"
"VOTCA software","VOTCA","A software package for systematic coarse-graining","software"
"PLUM force field","PLUM force field","A coarse-grained solvent-free model for protein-membrane systems","model|data source"
"Topology file","top","Main GROMACS file describing molecular topology and system composition","data format"
"GROMACS coordinate file","gro","GROMACS file format for atomic coordinates and velocities","data format"
"GROMACS trajectory file","trr","GROMACS file format for full precision trajectories","data format"
"Particle Type","Particle type","Defines if a particle is an atom, shell, or virtual site","identifier"
"Atom type parameter file","atomtypes.atp","File defining atom types and their properties for pdb2gmx","data format"
"Atom Type","Atom type","A label for an atom used for force field parameter assignment","identifier|model"
"Virtual sites directive","[ virtual_sites? ]","Topology file section for defining virtual interaction sites","data format"
"Virtual site function type","funct","Defines the rule for constructing a virtual site","identifier"
"GROMACS preprocessor","grompp","Program that processes topology and coordinate files for a simulation","software"
"Normalize virtual site bonds option","-normvsbds","An option for grompp related to virtual site bonds","identifier"
"Generic virtual sites directive","[ virtual_sitesn ]","A generic directive for constructing virtual sites from N atoms","data format"
"Lennard-Jones epsilon","epsilon","The well-depth parameter in the Lennard-Jones potential","measure"
"Lennard-Jones sigma","sigma","The finite distance where the Lennard-Jones potential is zero","measure"
"Kilojoule per mole","kJ/mol","A unit of energy commonly used in simulations","unit"
"Nanometer","nm","A unit of length commonly used in simulations","unit"
"Atomic mass unit","a.m.u.","A unit of mass for atoms and molecules","unit"
"Elementary charge","electron","The fundamental unit of electric charge","unit"
"Non-bonded parameter file","ffnonbonded.itp","Force field file containing parameters for non-bonded interactions","data format"
"Atom types directive","[ atomtypes ]","Topology file section defining atom types and their parameters","data format"
"Non-bonded parameters directive","[ nonbond_params ]","Topology file section for non-bonded interaction parameters between different atom types","data format"
"Lennard-Jones parameters","V(c6), W(c12)","The attractive and repulsive parameters for the Lennard-Jones potential","measure"
"Combination rule","combination rule","A rule to determine interaction parameters between different atom types","model|method"
"Defaults directive","[ defaults ]","Topology file section for setting global simulation parameters","data format"
"Buckingham potential","Buckingham potentials","An exponential-6 potential for non-bonded interactions","model"
"Bonded parameter file","ffbonded.itp","Force field file containing parameters for bonded interactions","data format"
"Bond types directive","[ bondtypes ]","Topology file section defining parameters for covalent bonds","data format"
