"Term","Variable","Description","Category1|Category2|...","really found?","line_numbers","occurrence_count"
"Locally-enhanced sampling","LES","A method using multiple local copies of regions to enhance sampling","method|algorithm","yes","20361,20363,20364,20365,20370,106037,109137,109147,117533,119354,119372,119595,119597,119605,122127,122500,123774,123778,124880,124889,124891,124898,124923,124972,126080,126084,126408,126419,126517,175862,180016,180026,180347,180350,180355,180425,180639,180642,180647,181459,181463,181464,181465,181483,183620,183624,184556,184566,184602,184622,184630,184634,184637,184660,184673,184679,184683,184692,184695,184700,184718,184735,184741,184785,184786,184789,184797,184936,185031,185033,185039,185043,185048,185050,185054,185113,185380,185401,185425,185426,185429,185431,185432,185434,185450,185454,185456,185460,185468,185480,185484,185494,185495,185496,185498,185502,185506,185511,185525,185554","161"
"Linear Interaction Energies","LIE","A method to estimate binding free energies from interaction energies.","method|model","yes","2190,18319,25385,27019,73853,78807,97065,111133,148527,148541,148546,148557,148562,148572,195732,196313,196701,196819,197286,197346,197400,197526,198612,206570,206630,206692,206703,206707,206709,206732,206742,206744,206756,206766,206769,206773,206869,206892,206918,207002,207003,207005,207009,207027,207031,207062,207213,207395,207403,207437,207488,207529,207617,207640,207651,215407","56"
"Linear Interaction Energy","LIE","A method for estimating binding free energies from interaction energies","method|model","yes","2190,18319,25385,27019,73853,78807,97065,111133,148536,148541,148546,148557,148562,148572,195718,195732,195742,196313,196701,196819,197286,197346,197400,197526,198612,206559,206570,206630,206692,206703,206707,206709,206732,206742,206744,206756,206766,206769,206773,206869,206892,206918,207002,207003,207005,207009,207027,207031,207062,207213,207395,207403,207437,207488,207529,207617,207640,207651,215407","60"
"Ligand Amber Mask","ligand_mask","An Amber selection string to identify ligand atoms","identifier","yes","190174,190492,190497,190567,210404,210474","7"
"ligand_mask","ligand_mask","An Amber mask specifying the ligand residues in the complex","identifier","yes","190174,190492,190497,190567,210404,210474","7"
"Link Atom Atomic Number","lnk_atomic_no","Specifies the atomic number for the link atoms","identifier|chemical entity","yes","50863,121148","2"
"Link Atom Atomic Number","lnk_atomic_no","The atomic number of the element used as a link atom.","identifier|chemical entity","yes","50863,121148","2"
"Link Atom Distance","lnk_dis","Specifies the distance from a QM atom to its corresponding link atom","measure|unit","yes","50708,50748,50751,50754,120762,120767","6"
"Link Atom Distance","lnk_dis","Distance in Angstroms from a QM atom to its link atom.","measure|unit","yes","50708,50748,50751,50754,120762,120767","6"
"Link Atom Method","lnk_method","Defines how classical valence terms across the QM/MM boundary are handled","method|model","yes","50775,121197,121202","3"
"Link Atom Method","lnk_method","Method for treating classical valence terms across the QM/MM boundary.","method|model","yes","50775,121197,121202","3"
"LIPID21","LIPID21","The latest modular Amber lipid force field","model","yes","4371,4488,13594,13623,13656,13666,13671,13676,13685,13703,13717,13764,14257,14274,14283,14285,14286,14294,14298,14306,14310,14347,14570,14599,14605,14609,69835,69863,70348","31"
"lipid21","lipid21","Recommended lipid force field for membrane simulations","model","yes","4371,4488,13594,13623,13656,13666,13671,13676,13685,13703,13717,13764,14257,14274,14283,14285,14286,14294,14298,14306,14310,14347,14570,14599,14605,14609,69835,69863,70348","31"
"lj1264","lj1264","sander flag to enable the 12-6-4 Lennard-Jones potential.","identifier","yes","114038,114332,114341,114367,114465,119683,119688,120276","8"
"Low-Mode Conformational Search","LMOD","Conformational search method based on eigenvector following of low-frequency modes.","method|algorithm","yes","87465,87471,87475,87478,87486,108343,108346,126340,136709,136713,136723,136738,136739,136741,136743,136752,136759,136778,136785,136831,136835,136838,136841,136846,136850,136910,136919,136920,136934,136940,136959,136963,136966,136967,136983,136989,136999,137004,137009,137014,137023,137035,137037,137040,137043,137044,137052,137057,137069,137087,137090,137091,137111,137219,137220,137258,137436,137440,137444,137447,137448,137536,137652,137695,137739,137741,137743,137754,137798,137846,137889,137920,137933,137977,138002,138046,138071,138102,138104,138121,138139,138143,138145,138146,138192,138194,138261,138262,138310,138365,138383,138410,138428,138430,138432,138438,138441,138582,138583","102"
"lmod","lmod","ParmEd command to adjust LJ parameters for LMOD conformational searches.","software|process","yes","87465,87471,87475,87478,87486,108343,108346,126340,136709,136713,136723,136738,136739,136741,136743,136752,136759,136778,136785,136831,136835,136838,136841,136846,136850,136910,136919,136920,136934,136940,136959,136963,136966,136967,136983,136989,136999,137004,137009,137014,137023,137035,137037,137040,137043,137044,137052,137057,137069,137087,137090,137091,137111,137219,137220,137258,137436,137440,137444,137447,137448,137536,137652,137695,137739,137741,137743,137754,137798,137846,137889,137920,137933,137977,138002,138046,138071,138102,138104,138121,138139,138143,138145,138146,138192,138194,138261,138262,138310,138365,138383,138410,138428,138430,138432,138438,138441,138582,138583","102"
"loadAmberParams","loadAmberParams","LEaP command to load an AMBER parameter set file","software","yes","4900,4932,4936,15009,15084,15560,15591,77067,77071,77076,77119,92039,189985","13"
"loadAmberParams","loadAmberParams","LEaP command to load a frcmod file.","software|process","yes","4900,4932,4936,15009,15084,15560,15591,77067,77071,77076,77119,92039,189985","13"
"loadAmberPrep","loadAmberPrep","LEaP command to load an AMBER PREP file","software","yes","74138,77127,77131,77136,77168,80815,92065","7"
"loadamberprep","loadamberprep","LEaP command to load an Amber prep file.","software|process","yes","74138,77127,77131,77136,77168,80815,92065","7"
"loadMol2","loadMol2","LEaP command to load a Sybyl MOL2 format file","software","yes","74147,77224,77228,77233,92043,189989","6"
"loadMol2","loadMol2","LEaP command to load a molecule from a mol2 file.","software|process","yes","74147,77224,77228,77233,92043,189989","6"
"Locally Enhanced Sampling","LES","A simulation method to improve sampling of a specific molecular region","method|model","yes","20361,20363,20364,20365,20370,106037,109137,109147,117533,119354,119372,119595,119597,119605,122127,122500,123774,123778,124880,124889,124891,124898,124923,124972,126080,126084,126408,126410,126419,126517,175862,180016,180026,180347,180350,180355,180425,180639,180642,180647,181459,181463,181464,181465,181483,183624,184556,184566,184602,184622,184630,184634,184637,184660,184673,184679,184683,184692,184695,184700,184718,184735,184741,184785,184786,184789,184797,184936,185031,185033,185039,185043,185048,185050,185054,185113,185380,185401,185425,185426,185429,185431,185432,185434,185450,185454,185456,185460,185468,185480,185484,185494,185495,185496,185498,185502,185506,185511,185525,185554","161"
"Locally Enhanced Sampling","LES","A simulation method to improve sampling of a specific molecular region","method|model","yes","20361,20363,20364,20365,20370,106037,109137,109147,117533,119354,119372,119595,119597,119605,122127,122500,123774,123778,124880,124889,124891,124898,124923,124972,126080,126084,126408,126410,126419,126517,175862,180016,180026,180347,180350,180355,180425,180639,180642,180647,181459,181463,181464,181465,181483,183624,184556,184566,184602,184622,184630,184634,184637,184660,184673,184679,184683,184692,184695,184700,184718,184735,184741,184785,184786,184789,184797,184936,185031,185033,185039,185043,185048,185050,185054,185113,185380,185401,185425,185426,185429,185431,185432,185434,185450,185454,185456,185460,185468,185480,185484,185494,185495,185496,185498,185502,185506,185511,185525,185554","161"
"Locally Enhanced Sampling","LES","An enhanced sampling method focusing computational effort on a subregion.","method|algorithm","yes","20361,20363,20364,20365,20370,106037,109137,109147,117533,119354,119372,119595,119597,119605,122127,122500,123774,123778,124880,124889,124891,124898,124923,124972,126080,126084,126408,126410,126419,126517,175862,180016,180026,180347,180350,180355,180425,180639,180642,180647,181459,181463,181464,181465,181483,183624,184556,184566,184602,184622,184630,184634,184637,184660,184673,184679,184683,184692,184695,184700,184718,184735,184741,184785,184786,184789,184797,184936,185031,185033,185039,185043,185048,185050,185054,185113,185380,185401,185425,185426,185429,185431,185432,185434,185450,185454,185456,185460,185468,185480,185484,185494,185495,185496,185498,185502,185506,185511,185525,185554","161"
"makeANG_RST","makeANG_RST","An auxiliary program to prepare angle restraint files for sander","software","yes","176037,180400,180407,180417,180421,181771,181888","7"
"makeANG_RST","makeANG_RST","A program that converts torsion angle constraints into Amber RST format","software","yes","176037,180400,180407,180417,180421,181771,181888","7"
"makeCHIR_RST","makeCHIR_RST","An auxiliary program to prepare chirality restraint files for sander","software","yes","176041,180681,180685,180714,181775,181925","6"
"makeCHIR_RST","makeCHIR_RST","A program that creates chirality and omega constraints for refinement","software","yes","176041,180681,180685,180714,181775,181925","6"
"makeDIST_RST","makeDIST_RST","An auxiliary program to prepare distance restraint files for sander","software","yes","175955,176037,176557,177529,177953,179923,179929,180262,180269,180387,181485,181767,181795,182063","14"
"makeDIST_RST","makeDIST_RST","A program that converts simplified distance bounds into sander input","software","yes","175955,176037,176557,177529,177953,179923,179929,180262,180269,180387,181485,181767,181795,182063","14"
"Max Minimization Cycles","maxcyc","Maximum number of cycles for geometry optimization","measure","yes","40391,40476,46967,46972,46985,47244,87654,87756,92271,97966,97979,106377,106802,106941,106948,107437,108235,108242,118547,118631,137168,137173,178898,183002,191342,191347,192145","27"
"maxcyc","maxcyc","The maximum number of minimization cycles to perform.","identifier","yes","40391,40476,46967,46972,46985,47244,87654,87756,92271,97966,97979,106377,106802,106941,106948,107437,108235,108242,118547,118631,137168,137173,178898,183002,191342,191347,192145","27"
"maxcyc","maxcyc","The maximum number of minimization cycles","identifier","yes","40391,40476,46967,46972,46985,47244,87654,87756,92271,97966,97979,106377,106802,106941,106948,107437,108235,108242,118547,118631,137168,137173,178898,183002,191342,191347,192145","27"
"maxitn","maxitn","The maximum number of iterations for the PB solver","identifier|measure","yes","25283,25292,25302,25320,25351,25356,25363,27171,27191,27351,28122,30160,30243,30325,31048","15"
"maxitn","maxitn","The maximum number of iterations for the PB solver","identifier|measure","yes","25283,25292,25302,25320,25351,25356,25363,27171,27191,27351,28122,30160,30243,30325,31048","15"
"maxsph","maxsph","The approximate number of dots representing the maximal atomic SASA","identifier|measure","yes","26590,26595,26612","3"
"maxsph","maxsph","The approximate number of dots representing the maximal atomic SASA","identifier|measure","yes","26590,26595,26612","3"
"mbondi2","mbondi2","A specific set of modified Bondi radii for GB calculations","data source|model","yes","19349,19360,19625,19675,78071,81521,86170,86561,87105,167965,172431,190001,190201,200627,201044","15"
"mbondi2 radii","mbondi2","A modified set of Bondi radii for implicit solvent calculations","data source|model","yes","19349,19360,19625,19675,78071,81521,86170,86561,87105,167965,172431,190001,190201,200627,201044","15"
"mbondi3","mbondi3","A specific set of modified Bondi radii for the igb=8 GB model","data source|model","yes","19382,19911,19912,19913,78099,86170,86561,89239,89274,89279,174449,174488,190201","13"
"mbondi3","mbondi3","A set of modified Bondi radii for use with IGB=8.","model|data source","yes","19382,19911,19912,19913,78099,86170,86561,89239,89274,89279,174449,174488,190201","13"
"mctrdz","mctrdz","The center of the implicit membrane in the z-direction","identifier|measure","yes","25070,25075,27119,191232,191237,192317,192799","7"
"mctrdz","mctrdz","The center of the implicit membrane in the z-direction","identifier|measure","yes","25070,25075,27119,191232,191237,192317,192799","7"
"mctrdz","mctrdz","The absolute center of the membrane in the z-direction","measure","yes","25070,25075,27119,191232,191237,192317,192799","7"
"mdgx","mdgx","Generates bonded force field parameters by fitting to quantum data","software|method","yes","2034,2962,3079,5436,81559,95859,95863,95869,95878,95892,95902,95931,95936,95941,95944,95949,95960,95965,95974,95978,95985,95996,96005,96018,96033,96041,96056,96070,96075,96080,96084,96102,96109,96117,96123,96130,96181,96199,96343,96359,96399,96478,96490,96496,96514,96518,96798,96903,96967,96979,97012,97063,97226,97230,97232,97236,97301,97316,97368,97375,97382,97398,97825,97840,97854,97860,97879,97884,97896,97905,97925,98110,98183,98209,98214,98265,98279,98326,98337,98357,98392,98409,98421,98436,98449,98463,98474,98499","88"
"mdgx","mdgx","A program for molecular dynamics algorithm development and parameter fitting.","software","yes","2034,2962,3079,5436,81559,95859,95863,95869,95878,95892,95902,95931,95936,95941,95944,95949,95960,95965,95974,95978,95985,95996,96005,96018,96033,96041,96056,96070,96075,96080,96084,96102,96109,96117,96123,96130,96181,96199,96343,96359,96399,96478,96490,96496,96514,96518,96798,96903,96967,96979,97012,97063,97226,97230,97232,97236,97301,97316,97368,97375,97382,97398,97825,97840,97854,97860,97879,97884,97896,97905,97925,98110,98183,98209,98214,98265,98279,98326,98337,98357,98392,98409,98421,98436,98449,98463,98474,98499","88"
