"Term","Variable","Description","Category1|Category2|...","really found?","page_numbers","occurrence_count","removal_reason"
"gmx-pdb2gmx","gmx-pdb2gmx","A GROMACS tool to read a .pdb (or .gro) file, reads some database files, adds hydrogens to the molecules and generates coordinates in GROMACS (GROMOS), or optionally .pdb, format and a topology in GROMACS format","software","yes","127","1","Lower-priority member of semantic cluster led by row 995 (Champion: 'pdb2gmx')"
"gmx-pdb2gmx","gmx-pdb2gmx","A GROMACS tool to convert coordinate files to topology and FF-compliant coordinate files","software","yes","127","1","Lower-priority member of semantic cluster led by row 995 (Champion: 'pdb2gmx')"
"gmx-pme_error","gmx-pme_error","A GROMACS tool to estimate the error of PME calculations","software","yes","128","1","Lower-priority member of semantic cluster led by row 538 (Champion: 'gmx-pme_error')"
"gmx-pme_error","gmx-pme_error","A GROMACS tool to estimate the error of electrostatic forces using the sPME algorithm","software","yes","128","1","Lower-priority member of semantic cluster led by row 538 (Champion: 'gmx-pme_error')"
"gmx-pme_error","gmx-pme_error","A GROMACS tool to estimate the error of using PME with a given input file","software","yes","128","1","Lower-priority member of semantic cluster led by row 538 (Champion: 'gmx-pme_error')"
"gmx-pme_error","gmx-pme_error","A GROMACS tool to estimate the error of electrostatic forces using the sPME algorithm","software","yes","128","1","Lower-priority member of semantic cluster led by row 538 (Champion: 'gmx-pme_error')"
"gmx-polystat","gmx-polystat","A GROMACS tool to calculate static properties of polymers","software","yes","129,130","2","Lower-priority member of semantic cluster led by row 404 (Champion: 'gmx polystat')"
"gmx-polystat","gmx-polystat","A GROMACS tool to plot static properties of polymers","software","yes","129,130","2","Lower-priority member of semantic cluster led by row 404 (Champion: 'gmx polystat')"
"gmx-polystat","gmx-polystat","A GROMACS tool to plot static properties of polymers as a function of time and prints the average","software","yes","129,130","2","Lower-priority member of semantic cluster led by row 404 (Champion: 'gmx polystat')"
"gmx-polystat","gmx-polystat","A GROMACS tool to calculate static properties of polymers","software","yes","129,130","2","Lower-priority member of semantic cluster led by row 404 (Champion: 'gmx polystat')"
"gmx-polystat","gmx-polystat","A GROMACS tool to plot static properties of polymers","software","yes","129,130","2","Lower-priority member of semantic cluster led by row 404 (Champion: 'gmx polystat')"
"gmx-potential","gmx-potential","A GROMACS tool to calculate the electrostatic potential across the box","software","yes","131,132","2","Lower-priority member of semantic cluster led by row 407 (Champion: 'gmx potential')"
"gmx-potential","gmx-potential","A GROMACS tool to compute the electrostatical potential across the box","software","yes","131,132","2","Lower-priority member of semantic cluster led by row 407 (Champion: 'gmx potential')"
"gmx-potential","gmx-potential","A GROMACS tool to calculate the electrostatic potential across the box","software","yes","131,132","2","Lower-priority member of semantic cluster led by row 407 (Champion: 'gmx potential')"
"gmx-principal","gmx-principal","A GROMACS tool to calculate principal axes of inertia","software","yes","130,131","2","Lower-priority member of semantic cluster led by row 409 (Champion: 'gmx principal')"
"gmx-principal","gmx-principal","A GROMACS tool to calculate the three principal axes of inertia for a group of atoms","software","yes","130,131","2","Lower-priority member of semantic cluster led by row 409 (Champion: 'gmx principal')"
"gmx-principal","gmx-principal","A GROMACS tool to calculate the three principal axes of inertia for a group of atoms","software","yes","130,131","2","Lower-priority member of semantic cluster led by row 409 (Champion: 'gmx principal')"
"gmx-principal","gmx-principal","A GROMACS tool to calculate principal axes of inertia for a group of atoms","software","yes","130,131","2","Lower-priority member of semantic cluster led by row 409 (Champion: 'gmx principal')"
"gmx-principal","gmx-principal","A GROMACS tool to calculate the three principal axes of inertia for a group of atoms","software","yes","130,131","2","Lower-priority member of semantic cluster led by row 409 (Champion: 'gmx principal')"
"gmx-rama","gmx-rama","A GROMACS tool to compute Ramachandran plots","software","yes","132","1","Lower-priority member of semantic cluster led by row 412 (Champion: 'gmx rama')"
"gmx-rama","gmx-rama","A GROMACS tool to select the phi/psi dihedral combinations from your topology file and computes these as a function of time","software","yes","132","1","Lower-priority member of semantic cluster led by row 412 (Champion: 'gmx rama')"
"gmx-rama","gmx-rama","A GROMACS tool to select the phi/psi dihedral combinations from your topology file and computes these as a function of time","software","yes","132","1","Lower-priority member of semantic cluster led by row 412 (Champion: 'gmx rama')"
"gmx-rdf","gmx-rdf","A GROMACS tool to calculate radial distribution functions","software","yes","127,130","3","Lower-priority member of semantic cluster led by row 559 (Champion: 'gmx-rdf')"
"gmx-rdf","gmx-rdf","A GROMACS tool to calculate radial distribution functions","software","yes","127,130","3","Lower-priority member of semantic cluster led by row 559 (Champion: 'gmx-rdf')"
"gmx-rdf","gmx-rdf","A GROMACS tool to calculate radial distribution functions","software","yes","127,130","3","Lower-priority member of semantic cluster led by row 559 (Champion: 'gmx-rdf')"
"gmx-rdf","gmx-rdf","A GROMACS tool to calculate radial distribution functions from one reference set of position to one or more sets of positions","software","yes","127,130","3","Lower-priority member of semantic cluster led by row 559 (Champion: 'gmx-rdf')"
"gmx-report-methods","gmx-report-methods","A GROMACS tool to summarize the simulation methods used","software","yes","129","1","Lower-priority member of semantic cluster led by row 414 (Champion: 'gmx report-methods')"
"gmx-report-methods","gmx-report-methods","A GROMACS tool to report basic system information for the run input file specified with -s either to the terminal, to a LaTeX formatted output file if run with the -m option or to an unformatted file with the -o option","software","yes","129","1","Lower-priority member of semantic cluster led by row 414 (Champion: 'gmx report-methods')"
"gmx-report-methods","gmx-report-methods","A GROMACS tool to write short summary about the simulation setup to a text file and/or to the standard output","software","yes","129","1","Lower-priority member of semantic cluster led by row 414 (Champion: 'gmx report-methods')"
"gmx-report-methods","gmx-report-methods","A GROMACS tool to report basic system information for the run input file specified with -s either to the terminal, to a LaTeX formatted output file if run with the -m option or to an unformatted file with the -o option","software","yes","129","1","Lower-priority member of semantic cluster led by row 414 (Champion: 'gmx report-methods')"
"gmx-rms","gmx-rms","A GROMACS tool to calculate RMSD over a trajectory","software","yes","129","1","Lower-priority member of semantic cluster led by row 568 (Champion: 'gmx-rms')"
"gmx-rms","gmx-rms","A GROMACS tool to compare two structures by computing the RMSD","software","yes","129","1","Lower-priority member of semantic cluster led by row 568 (Champion: 'gmx-rms')"
"gmx-rms","gmx-rms","A GROMACS tool to calculate RMSDs with a reference structure and RMSD matrices","software","yes","129","1","Lower-priority member of semantic cluster led by row 568 (Champion: 'gmx-rms')"
"gmx-rms","gmx-rms","A GROMACS tool to compare two structures by computing the root mean square deviation (RMSD), the size-independent rho similarity parameter (rho) or the scaled rho (rhosc)","software","yes","129","1","Lower-priority member of semantic cluster led by row 568 (Champion: 'gmx-rms')"
"gmx-rmsdist","gmx-rmsdist","A GROMACS tool to calculate averaged atom pair distances","software","yes","129","1","Lower-priority member of semantic cluster led by row 419 (Champion: 'gmx rmsdist')"
"gmx-rmsdist","gmx-rmsdist","A GROMACS tool to compute the root mean square deviation of atom distances","software","yes","129","1","Lower-priority member of semantic cluster led by row 419 (Champion: 'gmx rmsdist')"
"gmx-rmsdist","gmx-rmsdist","A GROMACS tool to calculate atom pair distances averaged with power -2, -3 or -6","software","yes","129","1","Lower-priority member of semantic cluster led by row 419 (Champion: 'gmx rmsdist')"
"gmx-rmsdist","gmx-rmsdist","A GROMACS tool to compute the root mean square deviation of atom distances","software","yes","129","1","Lower-priority member of semantic cluster led by row 419 (Champion: 'gmx rmsdist')"
"gmx-rmsf","gmx-rmsf","A GROMACS tool to calculate root-mean-square fluctuations","software","yes","129","1","Lower-priority member of semantic cluster led by row 577 (Champion: 'gmx-rmsf')"
"gmx-rmsf","gmx-rmsf","A GROMACS tool to compute the root mean square fluctuation (RMSF) of atomic positions","software","yes","129","1","Lower-priority member of semantic cluster led by row 577 (Champion: 'gmx-rmsf')"
"gmx-rmsf","gmx-rmsf","A GROMACS tool to calculate atomic fluctuations","software","yes","129","1","Lower-priority member of semantic cluster led by row 577 (Champion: 'gmx-rmsf')"
"gmx-rmsf","gmx-rmsf","A GROMACS tool to compute the root mean square fluctuation (RMSF, i.e. standard deviation) of atomic positions in the trajectory after (optionally) fitting to a reference frame","software","yes","129","1","Lower-priority member of semantic cluster led by row 577 (Champion: 'gmx-rmsf')"
"gmx-rotacf","gmx-rotacf","A GROMACS tool to calculate the rotational correlation function for molecules","software","yes","130","1","Lower-priority member of semantic cluster led by row 421 (Champion: 'gmx rotacf')"
"gmx-rotacf","gmx-rotacf","A GROMACS tool to calculate the rotational correlation function for molecules","software","yes","130","1","Lower-priority member of semantic cluster led by row 421 (Champion: 'gmx rotacf')"
"gmx-rotacf","gmx-rotacf","A GROMACS tool to calculate the rotational correlation function for molecules","software","yes","130","1","Lower-priority member of semantic cluster led by row 421 (Champion: 'gmx rotacf')"
"gmx-rotacf","gmx-rotacf","A GROMACS tool to calculate the rotational correlation function for molecules","software","yes","130","1","Lower-priority member of semantic cluster led by row 421 (Champion: 'gmx rotacf')"
"gmx-rotmat","gmx-rotmat","A GROMACS tool to plot the rotation matrix required for least squares fitting","software","yes","130","1","Lower-priority member of semantic cluster led by row 423 (Champion: 'gmx rotmat')"
"gmx-rotmat","gmx-rotmat","A GROMACS tool to plot the rotation matrix required for least squares fitting a conformation onto the reference conformation","software","yes","130","1","Lower-priority member of semantic cluster led by row 423 (Champion: 'gmx rotmat')"
"gmx-rotmat","gmx-rotmat","A GROMACS tool to plot the rotation matrix for fitting to a reference structure","software","yes","130","1","Lower-priority member of semantic cluster led by row 423 (Champion: 'gmx rotmat')"
"gmx-rotmat","gmx-rotmat","A GROMACS tool to plot the rotation matrix required for least squares fitting a conformation onto the reference conformation","software","yes","130","1","Lower-priority member of semantic cluster led by row 423 (Champion: 'gmx rotmat')"
"gmx-saltbr","gmx-saltbr","A GROMACS tool to analyze salt bridges","software","yes","130","1","Lower-priority member of semantic cluster led by row 425 (Champion: 'gmx saltbr')"
"gmx-saltbr","gmx-saltbr","A GROMACS tool to plot the distance between all combination of charged groups as a function of time","software","yes","130","1","Lower-priority member of semantic cluster led by row 425 (Champion: 'gmx saltbr')"
"gmx-saltbr","gmx-saltbr","A GROMACS tool to plot the distance between all combination of charged groups as a function of time","software","yes","130","1","Lower-priority member of semantic cluster led by row 425 (Champion: 'gmx saltbr')"
"gmx-saltbr","gmx-saltbr","A GROMACS tool to compute salt bridges","software","yes","130","1","Lower-priority member of semantic cluster led by row 425 (Champion: 'gmx saltbr')"
"gmx-saltbr","gmx-saltbr","A GROMACS tool to plot the distance between all combination of charged groups as a function of time","software","yes","130","1","Lower-priority member of semantic cluster led by row 425 (Champion: 'gmx saltbr')"
