[Term],[Variable],[Description],[Category1|Category2|...]
"savePdb","savePdb","LEaP command to save a unit in PDB format","software"
"sequence","sequence","LEaP command to combine and bond a list of units into a new unit","software"
"set","set","LEaP command to set default parameters or properties of objects","software"
"setBox","setBox","LEaP command to create a periodic box around a solute","software"
"solvateBox","solvateBox","LEaP command to create a periodic rectangular solvent box around a solute","software"
"solvateOct","solvateOct","LEaP command to create a periodic truncated octahedron solvent box","software"
"solvateCap","solvateCap","LEaP command to create a spherical solvent cap around a solute","software"
"solvateShell","solvateShell","LEaP command to add a solvent shell of a specified thickness around a solute","software"
"source","source","LEaP command to execute commands from a script file","software"
"transform","transform","LEaP command to apply a symmetry transformation matrix to atoms","software"
"translate","translate","LEaP command to translate atoms by a given vector","software"
"verbosity","verbosity","LEaP command to set the level of output messages","software"
"zMatrix","zMatrix","LEaP command to define Cartesian coordinates using internal coordinates","software"
"GLYCAM-Web","GLYCAM-Web","A web server for building carbohydrate and glycoprotein structures","software|data source"
"GLYCAM force field","leaprc.GLYCAM_06j-1","A force field specifically parameterized for carbohydrates","model|data source"
"Man-p-(1–4)-β-d-GlcpNAc-(1–4)-β-d-GlcpNAc-OH","Man-p-(1–4)-β-d-GlcpNAc-(1–4)-β-d-GlcpNAc-OH","Chemical structure of a trisaccharide core common in N-glycans.","chemical entity|model"
"β-d-mannopyranose","β-d-mannopyranose","A specific mannose sugar isomer, often a branch point.","chemical entity"
"LEaP","LEaP","A program for building molecular topologies in Amber.","software|process"
"ROH","ROH","Residue name for a reducing-end hydroxyl group in GLYCAM.","identifier|chemical entity"
"4YB","4YB","Residue name for β-D-GlcpNAc in GLYCAM nomenclature.","identifier|chemical entity"
"VMB","VMB","Residue name for a 3,6-branched β-D-mannopyranose in GLYCAM.","identifier|chemical entity"
"0MA","0MA","Residue name for α-D-Manp in GLYCAM nomenclature.","identifier|chemical entity"
"leaprc.GLYCAM_06j-1","leaprc.GLYCAM_06j-1","LEaP resource file loading the GLYCAM_06j-1 force field.","data source|software"
"sequence","sequence","LEaP command to build a linear chain of residues.","software|process"
"set glycan tail","set glycan tail","LEaP command to define the attachment point for subsequent residues.","software|process"
"impose","impose","LEaP command to set specific torsion angle values.","software|process"
"saveamberparm","saveamberparm","LEaP command to save Amber topology and coordinate files.","software|process"
"savepdb","savepdb","LEaP command to save a Protein Data Bank (PDB) file.","software|process"
"Man-9","Man-9","A specific high-mannose N-glycan with nine mannose residues.","chemical entity"
"Consortium for Functional Glycomics","Consortium for Functional Glycomics","An organization providing resources and standards for glycan representation.","data source|model"
"VMA","VMA","Residue name for a 3,6-branched α-D-Manp residue.","identifier|chemical entity"
"2MA","2MA","Residue name for a 2-linked α-D-Manp residue.","identifier|chemical entity"
"tleap","tleap","The terminal (non-graphical) version of the LEaP program.","software"
"DMPC","DMPC","1,2-dimyristoyl-sn-glycero-3-phosphocholine, a common model lipid.","chemical entity"
"CHO","CHO","Fragment name for the choline head group in GLYCAM lipids.","identifier|chemical entity"
"PGL","PGL","Fragment name for the phospho-glycerol group in GLYCAM lipids.","identifier|chemical entity"
"MYR","MYR","Fragment name for the sn-1 chain myristic acid tail.","identifier|chemical entity"
"MY2","MY2","Fragment name for the sn-2 chain myristic acid tail.","identifier|chemical entity"
"prep file","prep file","Amber file format containing residue/fragment library information.","data format"
"antechamber","antechamber","An AmberTools program for generating parameters for organic molecules.","software"
"loadamberprep","loadamberprep","LEaP command to load an Amber prep file.","software|process"
"Glycoprotein","Glycoprotein","A protein with one or more covalently attached glycans.","chemical entity"
"N-linked glycosylation","N-linked glycosylation","Attachment of a glycan to an asparagine (Asn) residue.","process|model"
"O-linked glycosylation","O-linked glycosylation","Attachment of a glycan to a serine (Ser) or threonine (Thr) residue.","process|model"
"Ribonuclease A","Ribonuclease A","A protein used as an example for glycosylation.","chemical entity"
"PDBID","PDBID","Protein Data Bank identifier, a unique code for structures.","identifier"
"3RN3","3RN3","PDBID for bovine ribonuclease A.","identifier|data source"
"Disulfide bond","SSBOND","A covalent bond between two cysteine residues.","chemical entity|model"
"CYX","CYX","Residue name for a cysteine involved in a disulfide bond.","identifier|chemical entity"
"OLS","OLS","Modified serine residue name for O-linkages in Amber.","identifier|chemical entity"
"OLT","OLT","Modified threonine residue name for O-linkages in Amber.","identifier|chemical entity"
"OLP","OLP","Modified hydroxyproline residue name for O-linkages in Amber.","identifier|chemical entity"
"NLN","NLN","Modified asparagine residue name for N-linkages in Amber.","identifier|chemical entity"
"Glycoprotein Builder","Glycoprotein Builder","A web tool at glycam.org for building glycoprotein models.","software|data source"
"TER card","TER","A record in a PDB file separating molecular chains/residues.","data format|identifier"
"bond","bond","LEaP command to manually create a covalent bond between atoms.","software|process"
"addions","addions","LEaP command to add counter-ions to neutralize a system.","software|process"
"solvateBox","solvateBox","LEaP command to solvate a molecule in a rectangular box.","software|process"
"TIP3P","TIP3P","A common 3-site water model used in simulations.","model"
"Solvate.sh","Solvate.sh","An AmberTools script to solvate a system with a target number of waters.","software|process"
"cpptraj","cpptraj","An AmberTools program for analyzing simulation trajectories.","software"
"parmtop","parmtop","Amber parameter-topology file containing system-specific force field information.","data format"
"prmtop","prmtop","Alternative name for the Amber parameter-topology file.","data format"
"crd","crd","Amber coordinate file format.","data format"
"rst7","rst7","Amber restart coordinate file format.","data format"
"inpcrd","inpcrd","Amber input coordinate file, often used with prmtop files.","data format"
"frcmod file",".frcmod","File for modifying or adding parameters to an Amber force field.","data format"
"dat file",".dat","Standard Amber parameter file containing force field definitions.","data format"
"Hamiltonian","E_total","The total potential energy function of the system.","model"
"Bond Stretching","Σ k_b(r-r_0)^2","Energy term for the vibration of covalent bonds.","model"
"k_b","k_b","Force constant for the bond stretching term.","measure|model"
"r_0","r_0","Equilibrium bond length for the bond stretching term.","measure|model"
"Angle Bending","Σ k_θ(θ-θ_0)^2","Energy term for the bending of angles between three atoms.","model"
"k_θ","k_θ","Force constant for the angle bending term.","measure|model"
"θ_0","θ_0","Equilibrium angle value for the angle bending term.","measure|model"
"Dihedral Term","Σ V_n[1+cos(nφ-γ)]","Energy term for rotation around a central bond (torsion).","model"
"V_n","V_n","Barrier height for the dihedral term.","measure|model"
"n","n","Periodicity of the dihedral term.","measure|model"
"γ","γ","Phase offset of the dihedral term in degrees.","measure|model"
"1-4 Interaction","1-4 Interaction","Non-bonded interaction between atoms separated by three bonds.","model"
"SCEE","SCEE","Scaling factor for 1-4 electrostatic interactions.","measure|model"
"SCNB","SCNB","Scaling factor for 1-4 van der Waals interactions.","measure|model"
"Out-of-Plane Term","Out-of-Plane Term","An improper torsion used to maintain planarity.","model"
"Lennard-Jones Potential","V_LJ","A model describing non-bonded van der Waals interactions.","model"
"A_ij","A_ij","The repulsive (R^-12) coefficient in the Lennard-Jones potential.","measure|model"
"B_ij","B_ij","The attractive (R^-6) coefficient in the Lennard-Jones potential.","measure|model"
"R_min","R_min","Distance at the minimum of the Lennard-Jones potential well.","measure|model"
"ε (epsilon)","ε","Depth of the Lennard-Jones potential well.","measure|model"
